popularity,budget,revenue,roi,vote_count,vote_average,release_year
32.99,150000000,1513528810,9.09,5562,6.5,2015
28.42,150000000,378436354,1.52,6185,7.1,2015
13.11,110000000,295238201,1.68,2480,6.3,2015
11.17,200000000,2068178225,9.34,5292,7.5,2015
9.34,190000000,1506249360,6.93,2947,7.3,2015
9.11,135000000,532950503,2.95,3929,7.2,2015
8.65,155000000,440603537,1.84,2598,5.8,2015
7.67,108000000,595380321,4.51,4572,7.6,2015
7.4,74000000,1156730962,14.63,2893,6.5,2015
6.33,175000000,853708609,3.88,3935,8.0,2015
6.2,245000000,880674609,2.59,3254,6.2,2015
6.19,176000003,183987723,0.05,1937,5.2,2015
6.12,15000000,36869414,1.46,2854,7.6,2015
5.98,88000000,243637091,1.77,1575,5.8,2015
5.94,280000000,1405035767,4.02,4304,7.4,2015
5.9,44000000,155760117,2.54,2389,7.4,2015
5.75,48000000,325771424,5.79,1578,6.1,2015
5.57,130000000,518602163,2.99,3779,7.0,2015
5.56,95000000,542351353,4.71,1495,6.8,2015
5.48,160000000,650523427,3.07,2380,6.5,2015
5.46,190000000,209035668,0.1,1899,6.2,2015
5.34,30000000,91709827,2.06,1386,7.3,2015
4.91,110000000,470490832,3.28,2060,6.1,2015
4.71,40000000,569651467,13.24,1865,5.3,2015
4.65,28000000,133346506,3.76,1545,7.3,2015
4.57,150000000,682330139,3.55,2349,7.1,2015
4.56,68000000,215863606,2.17,1666,6.3,2015
4.5,81000000,403802136,3.99,3833,7.6,2015
4.06,20000000,88346473,3.42,1559,7.8,2015
3.97,61000000,311256926,4.1,1849,6.4,2015
3.93,0,29355203,,425,6.4,2015
3.9,49000000,102069268,1.08,1990,6.6,2015
3.88,29000000,287506194,8.91,1264,6.8,2015
3.65,40000000,162610473,3.07,1638,7.1,2015
3.64,58000000,150170815,1.59,600,6.2,2015
3.56,6000000,35401758,4.9,1520,8.0,2015
3.36,0,22354572,,474,6.2,2015
3.34,175000000,331926147,0.9,1087,6.6,2015
3.24,50000000,71561644,0.43,814,6.3,2015
3.23,11000000,62076141,4.64,754,7.3,2015
3.2,28000000,201634991,6.2,918,7.7,2015
3.08,90000000,140396650,0.56,879,5.6,2015
3.08,30000000,34441873,0.15,1035,6.9,2015
3.05,75000000,108145109,0.44,1548,7.0,2015
3.03,25000000,42629776,0.71,1221,7.3,2015
3.02,10000000,14333790,0.43,396,5.9,2015
2.98,135000000,368871007,1.73,1060,6.9,2015
2.97,12000000,85512300,6.13,1252,6.2,2015
2.93,30000000,0,-1.0,481,5.3,2015
2.89,4000000,9064511,1.27,638,6.6,2015
2.88,11800000,40272135,2.41,562,7.1,2015
2.81,35000000,194564672,4.56,1255,7.1,2015
2.8,55000000,203427584,2.7,1172,6.7,2015
2.79,60000000,101134059,0.69,1001,6.4,2015
2.61,105000000,133718711,0.27,505,5.5,2015
2.58,20000000,36606743,0.83,631,6.3,2015
2.58,26000000,30523226,0.17,719,6.2,2015
2.58,60000000,30418560,-0.49,696,5.3,2015
2.56,15000000,64191523,3.28,867,7.3,2015
2.55,70000000,17752940,-0.75,584,5.0,2015
2.49,30000000,84025816,1.8,1479,7.1,2015
2.49,120000001,167977596,0.4,1565,4.4,2015
2.46,3500000,40423945,10.55,700,5.8,2015
2.4,65000000,235666219,2.63,1840,6.9,2015
2.4,50100000,153962963,2.07,1831,6.7,2015
2.35,35000000,82347656,1.35,820,5.5,2015
2.35,100000000,93820758,-0.06,805,6.4,2015
2.33,20000000,0,-1.0,280,5.4,2015
2.33,35000000,137935567,2.94,1171,7.3,2015
2.32,35000000,140795793,3.02,849,6.1,2015
2.3,13000000,32848185,1.53,265,7.2,2015
2.28,25000000,42972994,0.72,619,6.7,2015
2.27,0,45895,,81,5.5,2015
2.23,150000000,128388320,-0.14,586,5.9,2015
2.17,0,0,,27,5.1,2015
2.14,0,0,,569,7.7,2015
2.14,99000000,246233113,1.49,414,6.4,2015
2.12,35000000,48623572,0.39,500,6.9,2015
2.1,25000000,52395996,1.1,363,6.1,2015
2.08,2500000,5214043,1.09,473,4.8,2015
2.07,34000000,63013281,0.85,711,7.3,2015
2.06,80000000,466183544,4.83,919,6.8,2015
2.06,17000000,24000000,0.41,111,5.3,2015
2.05,35000000,61181942,0.75,706,6.8,2015
2.03,11000000,1863315,-0.83,326,5.9,2015
2.0,31000000,104384188,2.37,846,6.1,2015
1.98,35000000,95437994,1.73,589,5.0,2015
1.98,4000000,187112,-0.95,384,5.1,2015
1.96,0,2000000,,135,5.6,2015
1.96,50000000,3324330,-0.93,341,5.9,2015
1.93,5000000,58978653,10.8,631,6.6,2015
1.9,50000000,240360392,3.81,568,5.7,2015
1.88,0,0,,11,5.4,2015
1.87,10000000,0,-1.0,181,4.1,2015
1.87,64000000,97571250,0.52,423,7.5,2015
1.84,0,233755553,,278,5.7,2015
1.82,11930000,18340000,0.54,197,6.9,2015
1.76,8500000,43528634,4.12,753,6.8,2015
1.74,10000000,52882018,4.29,331,5.5,2015
1.74,30000000,107597242,2.59,422,5.3,2015
1.72,0,0,,475,7.0,2015
1.66,0,0,,161,5.4,2015
1.65,4000000,50163103,11.54,810,3.9,2015
1.65,0,0,,114,5.6,2015
1.53,30000000,49263404,0.64,364,6.2,2015
1.51,23000000,79799880,2.47,446,6.5,2015
1.5,15000000,14860766,-0.01,288,6.2,2015
1.5,5000000,98450062,18.69,729,5.9,2015
1.48,53000000,99775678,0.88,848,6.3,2015
1.45,8900000,50136,-0.99,233,5.4,2015
1.45,15000000,61548707,3.1,342,5.9,2015
1.44,20000000,208588,-0.99,322,5.7,2015
1.41,5000000,54418872,9.88,519,6.7,2015
1.41,700000,17986781,24.7,448,7.3,2015
1.39,28000000,28208085,0.01,695,5.9,2015
1.39,11000000,61619773,4.6,277,7.3,2015
1.38,0,0,,22,4.5,2015
1.38,30000000,105011053,2.5,399,5.9,2015
1.36,12000000,32248241,1.69,637,6.3,2015
1.36,0,5189646,,199,5.8,2015
1.36,25000000,72629670,1.91,407,5.3,2015
1.35,55000000,74679822,0.36,819,6.4,2015
1.34,0,0,,169,5.1,2015
1.34,14800000,122413057,7.27,501,6.3,2015
1.34,10000000,78099553,6.81,267,5.0,2015
1.33,0,229094,,229,6.6,2015
1.32,15000000,8235661,-0.45,273,7.2,2015
1.32,19500000,32189727,0.65,202,6.2,2015
1.29,0,2500431,,132,6.4,2015
1.29,74000000,311594032,3.21,533,5.7,2015
1.28,0,4719695,,354,6.0,2015
1.28,20000000,43967255,1.2,214,7.0,2015
1.25,0,59700000,,340,6.9,2015
1.25,11000000,0,-1.0,43,6.3,2015
1.25,0,1702433,,102,6.3,2015
1.23,40000000,10664749,-0.73,283,5.6,2015
1.19,1000000,62882090,61.88,643,5.6,2015
1.18,35000000,51680201,0.48,472,5.5,2015
1.16,10000000,104303851,9.43,610,6.3,2015
1.16,0,118483,,181,5.5,2015
1.14,0,0,,59,4.5,2015
1.14,6000000,41387687,5.9,135,5.9,2015
1.14,40000000,34227298,-0.14,408,5.5,2015
1.13,0,0,,11,7.5,2015
1.13,8000000,3759286,-0.53,259,6.7,2015
1.07,1800000,0,-1.0,220,6.3,2015
1.07,0,17671101,,310,5.2,2015
1.06,0,0,,148,6.6,2015
1.05,0,11472454,,104,7.1,2015
1.04,20000000,0,-1.0,100,5.8,2015
1.04,2000000,1477002,-0.26,186,6.8,2015
1.04,0,0,,114,5.3,2015
1.03,0,0,,371,6.0,2015
1.02,0,3643591,,237,6.3,2015
1.01,12000000,0,-1.0,211,5.7,2015
1.01,11000000,27391084,1.49,319,6.1,2015
0.97,15000000,0,-1.0,30,6.0,2015
0.96,18000000,41325328,1.3,152,5.5,2015
0.95,0,0,,139,7.2,2015
0.95,630019,0,-1.0,487,7.7,2015
0.95,12000000,60273173,4.02,122,5.6,2015
0.94,0,1936524,,69,5.8,2015
0.94,10000000,7587485,-0.24,265,5.9,2015
0.93,40000000,106511453,1.66,661,5.9,2015
0.92,0,0,,131,5.8,2015
0.91,60000000,0,-1.0,252,4.8,2015
0.91,0,0,,96,5.1,2015
0.91,25000000,24902723,-0.0,262,5.8,2015
0.9,14000000,16002420,0.14,231,7.1,2015
0.89,0,0,,167,6.0,2015
0.88,6000000,11122090,0.85,412,6.2,2015
0.88,0,6075,,215,5.5,2015
0.87,0,13192457,,269,6.4,2015
0.87,0,16775,,57,4.2,2015
0.86,0,0,,92,5.2,2015
0.85,0,0,,262,6.7,2015
0.84,0,0,,22,6.6,2015
0.84,0,30229977,,220,6.9,2015
0.84,0,3002884,,126,7.3,2015
0.83,10000000,85978266,7.6,196,6.4,2015
0.83,20000000,6420319,-0.68,113,7.1,2015
0.82,0,0,,14,6.4,2015
0.82,0,1986615,,75,7.7,2015
0.81,37000000,26250020,-0.29,469,5.2,2015
0.81,26000000,0,-1.0,64,3.6,2015
0.81,0,0,,32,5.3,2015
0.8,28000000,7002261,-0.75,122,5.7,2015
0.79,0,0,,57,5.1,2015
0.79,0,231737,,192,6.4,2015
0.78,0,0,,55,4.5,2015
0.77,0,0,,33,5.6,2015
0.77,0,134552,,174,5.5,2015
0.77,0,0,,17,4.3,2015
0.76,0,3214116,,197,6.2,2015
0.75,11000000,0,-1.0,53,5.6,2015
0.74,0,8413144,,345,7.5,2015
0.73,0,0,,52,5.3,2015
0.72,0,0,,122,4.9,2015
0.71,0,0,,13,5.5,2015
0.71,0,0,,62,4.9,2015
0.71,7000000,573335,-0.92,86,7.1,2015
0.7,0,0,,264,6.5,2015
0.7,3000000,695269,-0.77,307,4.7,2015
0.7,9600000,2541554,-0.74,89,6.4,2015
0.7,0,0,,88,5.0,2015
0.69,10000000,10835752,0.08,114,6.6,2015
0.69,15000000,3020664,-0.8,56,5.1,2015
0.69,2240000,0,-1.0,142,7.0,2015
0.67,1000000,14444999,13.44,87,6.6,2015
0.67,13000000,1784763,-0.86,164,4.5,2015
0.66,8000000,1411927,-0.82,121,6.8,2015
0.66,14000000,12314651,-0.12,244,5.0,2015
0.65,0,0,,101,5.7,2015
0.65,4000000,143101,-0.96,35,5.0,2015
0.65,0,0,,74,5.7,2015
0.64,0,0,,98,4.2,2015
0.64,0,0,,298,7.3,2015
0.64,0,0,,135,4.7,2015
